"ASIANPAINT","BAJAJ-AUTO","BAJAJFINSV","ADANIPORTS","AXISBANK","BAJFINANCE","BHARTIARTL","BPCL","BRITANNIA","CIPLA","COALINDIA","DRREDDY","EICHERMOT","GAIL","GRASIM","HCLTECH","HDFC","HDFCBANK","HEROMOTOCO","HINDALCO","HINDUNILVR","ICICIBANK","INDUSINDBK","INFY","IOC","ITC","JSWSTEEL","KOTAKBANK","LT","M&M","MARUTI","NESTLEIND","NTPC","ONGC","POWERGRID","RELIANCE","SBIN","SHREECEM","SUNPHARMA","TATAMOTORS","TATASTEEL","TCS","TECHM","TITAN","ULTRACEMCO","UPL","VEDL","WIPRO","ZEEL"
1574.3,2640.35,4539.2,317.15,357.2,1990.2,594.55,313.2,3110.95,616.6,124.5,3847.5,14087.6,87.95,526.95,534.85,1597.3,859.55,2119.5,129.5,1970.9,304.4,346.8,672.2,74.45,188.95,169.9,1150.25,820.5,408.3,5050.1,16295.45,90.25,77,158.9,1441.25,151.95,19251.15,466.45,84.1,283.7,1991.2,520.05,849.85,3571.5,366.8,90.2,189.1,153.95
1617.9,2553.75,4315.55,310.6,336.95,1895.3,593.2,315.2,3167.1,639.35,125.2,3892.85,13922.4,87.2,532.35,530.4,1516.15,838.85,2150.6,124.85,1987.9,291.05,338.35,692.35,75.5,186.35,166.15,1160.2,815.7,426.35,5134.3,16215.15,90.95,76.15,155.85,1431.55,150.85,19910.25,469.4,82.8,274.45,2020.35,529.65,849.65,3638.95,371.15,89.1,189,163.25
1629.85,2564.85,4097.25,315.6,341.3,1829,559.25,313.15,3163.85,627.7,127.25,3864.3,14805.1,88.15,532.65,524,1502.15,852.4,2113.65,129.1,1977.8,292.7,348.2,680.55,77.15,191.7,176.25,1153.2,825.55,429.15,5246.15,16655.15,93,77,157.35,1424.05,151.4,20667.3,459.15,83.1,280.45,1943,520.45,892.75,3786,367.05,87.9,188.8,165.2
1619.45,2580.55,4258.05,326.65,387,1936.45,563.1,329.45,3220.3,633.05,130.8,3883,14966.95,88.6,566.65,530.95,1570.4,903.65,2175.65,133.3,1998.1,318.85,368.95,705.45,77.55,192.15,184.8,1217.55,850.85,432.5,5244.4,16716.5,94.7,77.95,157.15,1445.55,158.6,20477.55,450.9,84.55,287.95,2005.3,523.75,885.85,3727.4,387.8,87.9,201.25,164.45
1643.6,2600,4285.95,331.8,390.95,1947.7,562.75,326.45,3323.25,628.35,133.9,3887.75,16236.5,89.1,576.5,542.65,1623.7,945.25,2298.1,138.4,2009.95,326.85,386.85,707.4,77.7,190.65,184.15,1229.45,905.5,440.4,5468.35,16989.15,95.7,78.85,157.25,1472.25,158.2,20808.9,459.1,87,295.5,2004.3,529.7,899.45,3809.2,391.1,89.95,199.35,180.7
1683.1,2710.5,4404.9,323.8,384.95,1953.65,552.6,342.8,3378.85,648.15,141.3,4071.25,16548.45,92.35,589.2,550.25,1658.9,951.65,2360.85,138.85,2057.35,331.95,393.65,691,83.2,197.35,184.2,1224,932.25,436.35,5610.8,17540.8,97.85,83.2,157.55,1464.4,161.3,20857.3,474.25,87,295.2,1972.35,530.45,890,3904.85,405.85,92.2,212.8,183.55
1693.25,2758.3,4763.2,329.35,396.95,2160.85,559.05,346.3,3434.85,642.5,148.55,3953.55,16985.75,91.95,583.5,559.75,1737.7,987.65,2326.3,139.15,2108.55,339.25,410.1,699.55,86.15,200.55,193.95,1248.4,928.15,461.1,5793.6,17183.45,97.9,83.95,158.85,1520.35,170.05,21069.35,465.4,89.55,315.2,2045.25,543.55,958.9,3815.7,419.3,93.65,215.05,185.9
1709.3,2796.1,5184.7,339.95,410.1,2346.2,558.1,341.6,3451,637.6,143.4,3895.3,17396.25,96.55,596.35,560.2,1813.55,1001,2318.25,141.15,2107.4,348.4,434.7,708.1,85.8,197.25,192.15,1342.9,945.45,462.85,5690.1,17014.45,96.75,84.3,165.05,1535.7,170.25,21201,473.1,96.5,319.4,2047.15,547.5,976.15,3834.25,424.7,96.9,215.85,198.95
1716.55,2783.4,5286.05,339.55,409.55,2411.9,551.65,349.05,3510.3,641.2,141.7,3962.4,17542.85,96.35,597.8,562.8,1835.65,1022.25,2300.2,143.35,2120.5,356.85,432.35,701.55,87,196.7,192.7,1386.55,961.3,485.1,5624,17407.55,94.7,86.3,164.55,1541.65,174.9,21630.1,476.15,98.75,317.4,2046.15,553.25,984.35,3855.9,419.1,96.7,211.35,195.7
1633.75,2817.25,5136.8,339.2,394.35,2313.05,572.45,357.25,3450.35,660.55,140.25,3998.9,17272.95,97.25,605.1,578.95,1764.3,1001.7,2329.25,142.65,2120.6,347.85,415.05,707.75,85.9,200.15,192,1334.4,930.7,478.45,5690.2,17196.6,95.15,84.9,169.25,1579.8,174.05,21396.65,494.85,98.5,319.95,2091.55,582.1,971.25,3803.9,422.05,104.4,216.25,205.6
1638.55,2776.3,5236.4,341.15,405.3,2390.35,584.35,369.6,3466.7,650.9,144.85,4024.9,17495.35,97.85,627.15,575.95,1766.6,1033.35,2340.65,149.25,2087.6,357.2,422.35,703.55,89.4,200,197.05,1337.8,955.25,484.2,5746.2,17096.85,97.95,86.95,171.45,1581.7,187.8,22089.6,494.25,110.75,338.95,2048.25,579.85,990.95,3869.55,439.4,105.3,218.75,206.2
1634.25,2801.05,5440.95,343.3,430.25,2507.25,585.15,394.1,3426.8,635.1,146.7,3967.6,16894.85,104.75,617.15,578.25,1760.8,1015.9,2384.3,146.35,2111.7,359.8,451.6,720.85,93.1,197.65,194.95,1336.75,961.35,470.85,5734.8,16836.2,98.55,90.95,172.35,1569.5,186.8,21180.9,489,115.45,333.6,2071.75,590,1025,3778.2,436.8,105.1,226.45,197.05
1642.05,2791.15,5310.8,346.05,420.05,2443.6,567.8,381.5,3415.7,640.05,144.3,4123.8,17026.85,101.1,611.9,572.85,1772.1,987.3,2387.3,142.6,2106.5,348.55,463.9,717.6,90.65,198.5,190.05,1304.15,953.3,478.75,5662.3,16552.55,98,90,170.55,1537.15,184.45,21009.8,500.75,111.45,332.2,2072.05,586.2,997.1,3791.35,430.6,104.6,218.35,192.4
1635.95,2717.2,5223,346.55,427.45,2435.65,567.1,378.95,3377,642.95,140.7,4112.5,17090.05,98.1,614.75,578.7,1809.3,991.85,2292.25,146.95,2119.6,353,499.6,715.85,89.95,199.05,190.95,1332.25,946.55,472.05,5675.6,16534.7,98.15,88.25,170.05,1572.15,187.7,21513.3,499.15,111.4,324,2108.75,590.5,977.25,3792.45,425,106.1,217,189.8
1610.6,2718.55,5158,338.65,413.45,2338.9,551.85,370.05,3370.35,635,137.7,4057.6,16442.8,95.55,590.6,578.05,1787.45,968.6,2309.95,144.4,2106.9,341.25,523.15,703.95,88.35,194.25,184.65,1298.7,930.45,474.55,5426.15,16608.25,98.05,86.9,171,1537.7,177.15,21251.2,473.65,106.15,313.15,2067.65,571.85,951.25,3704.9,417.45,101.05,212.9,175.95
1637.35,2782.15,5285.95,345.3,408,2450.15,560.1,373.9,3366.05,643.6,134.65,4007.95,16857.3,96.35,601.95,570.75,1792.2,982.75,2401.85,146.05,2107.25,344.2,528.45,692.05,88.3,193.9,188.95,1279.8,926.4,508.45,5561.75,16496.3,96.9,83.9,166.3,1588.8,179.15,22392.65,480.1,105.3,317.6,2039.5,554.7,977.7,3788.55,411.65,103.3,207.9,168.55
1618.2,2728.55,5103.6,339.75,389.6,2351.4,550.7,361,3357.2,643.65,132.1,4012.3,16481.95,99.65,581.9,578.95,1751.65,949.85,2348.15,145.8,2084.3,331.1,490.55,687.55,86.2,187.2,183.75,1248.9,899.9,508.15,5475.75,16400.3,93.2,84.1,163.25,1614.55,173.7,22117.25,485.8,100.5,306.2,2029.9,548.8,948.4,3744.8,405,102.4,213.8,165.5
1621.7,2718.45,5128.3,340.8,381.55,2365,544.9,359.75,3345.35,637.8,131.15,4005.45,16709.05,97.5,589.1,580.9,1821.9,990.4,2395.95,150.1,2076.35,342.95,481.8,701.2,84.85,185,190.05,1276.8,895.05,506.75,5502.2,16342.1,92.8,83.9,162.7,1617.7,172.9,22111.3,483.4,94.75,308.95,2045.8,533.3,958.05,3779.95,414.25,103.85,212.4,163.9
1595.4,2689.45,5036.95,341.3,389.6,2396,563.45,364.6,3401.45,640.35,129.45,3985.2,16796.85,96.25,583.85,575.85,1794.65,979.25,2363.3,148,2078.25,341.95,491.15,703.65,84.35,181.2,191.85,1243.8,884.8,497.6,5726.2,16198.15,91.5,84.2,159.5,1615.35,172.95,21635.4,485.65,95.4,308.2,2047.8,535.55,963,3809.2,420.8,102.1,217.8,165
1597.8,2678.35,5427.55,343.8,405.4,2525.95,560.9,370.25,3404.25,642.05,137.6,4007,17116.05,97.05,598.1,578.95,1855.95,1019.95,2364.95,150.8,2065.35,352,499.2,713.9,84.85,186.6,193.4,1303.35,896.65,506.6,5714.4,16178.95,92.7,83.6,165.45,1655.9,179.65,21866.1,484.25,96.35,318.1,2038.1,535.9,976,3844.25,427.9,107,218.15,174.4
1622.5,2674.35,5899.8,348.9,417.05,2698.6,572.5,380.55,3438.55,636.2,137.25,4005.6,17349.35,99.5,601.25,569.6,1835.1,1033.35,2355.85,151.05,2092.75,363.8,483.65,705.55,85.3,184.05,194.3,1302.5,898.2,500.05,5897.35,16094.85,93,85.75,171.4,1759.4,184.5,21678.95,488.1,102.5,320.55,2044.6,538.85,975.85,3836.35,436.9,105.25,222.05,172.95
1652.15,2855.75,6183.55,349.6,430.15,2840.3,581.05,385.15,3421.2,655.95,143.65,4032.85,17588.95,98.3,617.6,569.6,1819.4,1028.75,2412.6,150.1,2100.8,367.55,489.9,703.7,88.05,185,197.95,1355.35,907.45,498.75,5896,16140.8,95.3,84.85,178.6,1746.15,187.7,22017.6,493.2,102.65,325.7,2027.95,548.5,979.5,3825.25,446.2,110.05,218.05,177.05
1683.9,2862.15,6319.65,355.65,443.65,3025.5,578.8,392,3467.05,659.8,143.85,4108.85,17891.15,99.25,622.35,580.25,1838.1,1042.3,2418.85,158.35,2155.95,376.15,520.4,720.65,89.35,185.85,201.65,1389.9,967.6,516.4,5886.5,16548.45,100.75,85.65,187.45,1720.9,192.45,22756.25,500.45,104.4,332,2035.3,558.8,999.25,3942.8,463.1,110,220.6,181.95
